ticker,market,group,present_in_returns_cc,present_in_returns_oc_jp,present_in_open_prices_adj,present_in_close_prices_adj,non_null_returns_cc,non_null_returns_oc_jp,non_null_open_prices_adj,non_null_close_prices_adj
XLB,US,us_core,True,False,True,True,4023,,4023,4023
XLE,US,us_core,True,False,True,True,4023,,4023,4023
XLF,US,us_core,True,False,True,True,4023,,4023,4023
XLI,US,us_core,True,False,True,True,4023,,4023,4023
XLK,US,us_core,True,False,True,True,4023,,4023,4023
XLP,US,us_core,True,False,True,True,4023,,4023,4023
XLU,US,us_core,True,False,True,True,4023,,4023,4023
XLV,US,us_core,True,False,True,True,4023,,4023,4023
XLY,US,us_core,True,False,True,True,4023,,4023,4023
XLC,US,us_extended,True,False,True,True,1894,,1895,1895
XLRE,US,us_extended,True,False,True,True,2572,,2573,2573
1617.T,JP,jp,True,True,True,True,3931,3931.0,3931,3931
1618.T,JP,jp,True,True,True,True,3931,3931.0,3931,3931
1619.T,JP,jp,True,True,True,True,3931,3931.0,3931,3931
1620.T,JP,jp,True,True,True,True,3931,3931.0,3931,3931
1621.T,JP,jp,True,True,True,True,3931,3931.0,3931,3931
1622.T,JP,jp,True,True,True,True,3931,3931.0,3931,3931
1623.T,JP,jp,True,True,True,True,3931,3931.0,3931,3931
1624.T,JP,jp,True,True,True,True,3931,3931.0,3931,3931
1625.T,JP,jp,True,True,True,True,3931,3931.0,3931,3931
1626.T,JP,jp,True,True,True,True,3931,3931.0,3931,3931
1627.T,JP,jp,True,True,True,True,3931,3931.0,3931,3931
1628.T,JP,jp,True,True,True,True,3931,3931.0,3931,3931
1629.T,JP,jp,True,True,True,True,3931,3931.0,3931,3931
1630.T,JP,jp,True,True,True,True,3931,3931.0,3931,3931
1631.T,JP,jp,True,True,True,True,3931,3931.0,3931,3931
1632.T,JP,jp,True,True,True,True,3931,3931.0,3931,3931
1633.T,JP,jp,True,True,True,True,3931,3931.0,3931,3931
