trade_date,packet_dir,run_status,batch_result,intent_count,payload_count,ack_count,reject_count,missing_intent_count,raw_order_row_count,diagnostic_error_count,diagnostic_warn_count,gross_notional_jpy,buy_notional_jpy,sell_notional_jpy,broker_id,broker_mode,runtime_safety_status,passed,reason_if_failed
2025-08-27,C:\Users\shiro\OneDrive\ドキュメント\Spyder\MISOCP\investment\runs\shadow_corrected_batch_60d_local_2025-08-27_20260420T123601Z,GO,skipped_existing,5,5,5,0,0,5,0,0,750000.0,750000.0,0.0,null_broker_v1,DRY_RUN,WARN,True,
2025-08-28,C:\Users\shiro\OneDrive\ドキュメント\Spyder\MISOCP\investment\runs\shadow_corrected_batch_60d_local_2025-08-28_20260420T123602Z,GO,skipped_existing,5,5,5,0,0,5,0,0,750000.0,750000.0,0.0,null_broker_v1,DRY_RUN,WARN,True,
2025-08-29,C:\Users\shiro\OneDrive\ドキュメント\Spyder\MISOCP\investment\runs\shadow_corrected_batch_60d_local_2025-08-29_20260420T123603Z,GO,skipped_existing,5,5,5,0,0,5,0,0,750000.0,750000.0,0.0,null_broker_v1,DRY_RUN,WARN,True,
2025-09-02,C:\Users\shiro\OneDrive\ドキュメント\Spyder\MISOCP\investment\runs\shadow_corrected_batch_60d_local_2025-09-02_20260420T123604Z,GO,skipped_existing,5,5,5,0,0,5,0,0,750000.0,750000.0,0.0,null_broker_v1,DRY_RUN,WARN,True,
2025-09-03,C:\Users\shiro\OneDrive\ドキュメント\Spyder\MISOCP\investment\runs\shadow_corrected_batch_60d_local_2025-09-03_20260420T123605Z,GO,skipped_existing,5,5,5,0,0,5,0,0,750000.0,750000.0,0.0,null_broker_v1,DRY_RUN,WARN,True,
2025-09-04,C:\Users\shiro\OneDrive\ドキュメント\Spyder\MISOCP\investment\runs\shadow_corrected_batch_60d_local_2025-09-04_20260420T123606Z,GO,skipped_existing,5,5,5,0,0,5,0,0,750000.0,750000.0,0.0,null_broker_v1,DRY_RUN,WARN,True,
2025-09-05,C:\Users\shiro\OneDrive\ドキュメント\Spyder\MISOCP\investment\runs\shadow_corrected_batch_60d_local_2025-09-05_20260420T123607Z,GO,skipped_existing,5,5,5,0,0,5,0,0,750000.0,750000.0,0.0,null_broker_v1,DRY_RUN,WARN,True,
2025-09-08,C:\Users\shiro\OneDrive\ドキュメント\Spyder\MISOCP\investment\runs\shadow_corrected_batch_60d_local_2025-09-08_20260420T123608Z,GO,skipped_existing,5,5,5,0,0,5,0,0,750000.0,750000.0,0.0,null_broker_v1,DRY_RUN,WARN,True,
2025-09-09,C:\Users\shiro\OneDrive\ドキュメント\Spyder\MISOCP\investment\runs\shadow_corrected_batch_60d_local_2025-09-09_20260420T123609Z,GO,skipped_existing,5,5,5,0,0,5,0,0,750000.0,750000.0,0.0,null_broker_v1,DRY_RUN,WARN,True,
2025-09-10,C:\Users\shiro\OneDrive\ドキュメント\Spyder\MISOCP\investment\runs\shadow_corrected_batch_60d_local_2025-09-10_20260420T123610Z,GO,skipped_existing,5,5,5,0,0,5,0,0,750000.0,750000.0,0.0,null_broker_v1,DRY_RUN,WARN,True,
2025-09-11,C:\Users\shiro\OneDrive\ドキュメント\Spyder\MISOCP\investment\runs\shadow_corrected_batch_60d_local_2025-09-11_20260420T123611Z,GO,skipped_existing,5,5,5,0,0,5,0,0,750000.0,750000.0,0.0,null_broker_v1,DRY_RUN,WARN,True,
2025-09-12,C:\Users\shiro\OneDrive\ドキュメント\Spyder\MISOCP\investment\runs\shadow_corrected_batch_60d_local_2025-09-12_20260420T123612Z,GO,skipped_existing,5,5,5,0,0,5,0,0,750000.0,750000.0,0.0,null_broker_v1,DRY_RUN,WARN,True,
2025-09-16,C:\Users\shiro\OneDrive\ドキュメント\Spyder\MISOCP\investment\runs\shadow_corrected_batch_60d_local_2025-09-16_20260420T123613Z,GO,skipped_existing,5,5,5,0,0,5,0,0,750000.0,750000.0,0.0,null_broker_v1,DRY_RUN,WARN,True,
2025-09-17,C:\Users\shiro\OneDrive\ドキュメント\Spyder\MISOCP\investment\runs\shadow_corrected_batch_60d_local_2025-09-17_20260420T123614Z,GO,skipped_existing,5,5,5,0,0,5,0,0,750000.0,750000.0,0.0,null_broker_v1,DRY_RUN,WARN,True,
2025-09-18,C:\Users\shiro\OneDrive\ドキュメント\Spyder\MISOCP\investment\runs\shadow_corrected_batch_60d_local_2025-09-18_20260420T123615Z,GO,skipped_existing,5,5,5,0,0,5,0,0,750000.0,750000.0,0.0,null_broker_v1,DRY_RUN,WARN,True,
2025-09-19,C:\Users\shiro\OneDrive\ドキュメント\Spyder\MISOCP\investment\runs\shadow_corrected_batch_60d_local_2025-09-19_20260420T123616Z,GO,skipped_existing,5,5,5,0,0,5,0,0,750000.0,750000.0,0.0,null_broker_v1,DRY_RUN,WARN,True,
2025-09-22,C:\Users\shiro\OneDrive\ドキュメント\Spyder\MISOCP\investment\runs\shadow_corrected_batch_60d_local_2025-09-22_20260420T123617Z,GO,skipped_existing,5,5,5,0,0,5,0,0,750000.0,750000.0,0.0,null_broker_v1,DRY_RUN,WARN,True,
2025-09-24,C:\Users\shiro\OneDrive\ドキュメント\Spyder\MISOCP\investment\runs\shadow_corrected_batch_60d_local_2025-09-24_20260420T123618Z,GO,skipped_existing,5,5,5,0,0,5,0,0,750000.0,750000.0,0.0,null_broker_v1,DRY_RUN,WARN,True,
2025-09-25,C:\Users\shiro\OneDrive\ドキュメント\Spyder\MISOCP\investment\runs\shadow_corrected_batch_60d_local_2025-09-25_20260420T123619Z,GO,skipped_existing,5,5,5,0,0,5,0,0,750000.0,750000.0,0.0,null_broker_v1,DRY_RUN,WARN,True,
2025-09-26,C:\Users\shiro\OneDrive\ドキュメント\Spyder\MISOCP\investment\runs\shadow_corrected_batch_60d_local_2025-09-26_20260420T123619Z,GO,skipped_existing,5,5,5,0,0,5,0,0,750000.0,750000.0,0.0,null_broker_v1,DRY_RUN,WARN,True,
2025-09-29,C:\Users\shiro\OneDrive\ドキュメント\Spyder\MISOCP\investment\runs\shadow_corrected_batch_60d_local_2025-09-29_20260420T123620Z,GO,skipped_existing,5,5,5,0,0,5,0,0,750000.0,750000.0,0.0,null_broker_v1,DRY_RUN,WARN,True,
2025-09-30,C:\Users\shiro\OneDrive\ドキュメント\Spyder\MISOCP\investment\runs\shadow_corrected_batch_60d_local_2025-09-30_20260420T123621Z,GO,skipped_existing,5,5,5,0,0,5,0,0,750000.0,750000.0,0.0,null_broker_v1,DRY_RUN,WARN,True,
