week_label,week_start,week_end,trade_days,completed_days,go_days,warn_days,stop_days,failed_days,shadow_return_compounded,paper_return_compounded,active_return_diff_compounded,shadow_return_mean,shadow_return_std,shadow_hit_rate,avg_tradable_names,avg_selected_names,avg_expected_cost_bps,avg_gross_exposure,avg_alert_count,warning_alert_days,critical_alert_days,triggered_gate_days,shadow_nav_index,paper_nav_index,completed_ratio,go_ratio,warn_ratio,stop_ratio,alert_day_ratio,gate_day_ratio,weekly_status,stop_reasons,warn_reasons,decision_note
2025-W35,2025-08-25,2025-08-29,3,0,0,0,0,0,,,,,,,,,15.0,0.75,1.0,3,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,STOP,incomplete_week,,stop rules triggered
2025-W36,2025-09-01,2025-09-05,4,0,0,0,0,0,,,,,,,,,15.0,0.75,1.0,4,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,STOP,incomplete_week,,stop rules triggered
2025-W37,2025-09-08,2025-09-12,5,0,0,0,0,0,,,,,,,,,15.0,0.75,1.0,5,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,STOP,incomplete_week,,stop rules triggered
2025-W38,2025-09-15,2025-09-19,4,0,0,0,0,0,,,,,,,,,15.0,0.75,1.0,4,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,STOP,incomplete_week,,stop rules triggered
2025-W39,2025-09-22,2025-09-26,4,0,0,0,0,0,,,,,,,,,15.0,0.75,1.0,4,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,STOP,incomplete_week,,stop rules triggered
2025-W40,2025-09-29,2025-10-03,5,0,0,0,0,0,,,,,,,,,15.0,0.75,1.0,5,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,STOP,incomplete_week,,stop rules triggered
2025-W41,2025-10-06,2025-10-10,5,0,0,0,0,0,,,,,,,,,15.0,0.75,1.0,5,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,STOP,incomplete_week,,stop rules triggered
2025-W42,2025-10-13,2025-10-17,4,0,0,0,0,0,,,,,,,,,15.0,0.75,1.0,4,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,STOP,incomplete_week,,stop rules triggered
2025-W43,2025-10-20,2025-10-23,4,0,0,0,0,0,,,,,,,,,15.0,0.75,1.0,4,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,STOP,incomplete_week,,stop rules triggered
2025-W44,2025-10-27,2025-10-31,5,0,0,0,0,0,,,,,,,,,15.0,0.75,1.0,5,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,STOP,incomplete_week,,stop rules triggered
2025-W45,2025-11-03,2025-11-07,4,0,0,0,0,0,,,,,,,,,15.0,0.75,1.0,4,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,STOP,incomplete_week,,stop rules triggered
2025-W46,2025-11-10,2025-11-14,5,0,0,0,0,0,,,,,,,,,15.0,0.75,1.0,5,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,STOP,incomplete_week,,stop rules triggered
2025-W47,2025-11-17,2025-11-21,5,0,0,0,0,0,,,,,,,,,15.0,0.75,1.0,5,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,STOP,incomplete_week,,stop rules triggered
2025-W48,2025-11-24,2025-11-28,3,0,0,0,0,0,,,,,,,,,15.0,0.75,1.0,3,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,STOP,incomplete_week,,stop rules triggered
