date,ticker,fill_type,side,qty,mid_price,assumed_price,cost_bps
2025-09-19,1617.T,open,BUY,3.7276156679141756,40200.0,40240.2,10.0
2025-09-19,1617.T,close,SELL,3.7276156679141756,40060.0,40019.94,10.0
2025-09-19,1621.T,open,BUY,5.539746759709792,27050.0,27077.049999999996,10.0
2025-09-19,1621.T,close,SELL,5.539746759709792,26920.0,26893.08,10.0
2025-09-19,1627.T,open,BUY,15.060316567854258,9950.0,9959.949999999999,10.0
2025-09-19,1627.T,close,SELL,15.060316567854258,10000.0,9990.0,10.0
2025-09-19,1630.T,open,BUY,4.2692350384658075,35100.0,35135.1,10.0
2025-09-19,1630.T,close,SELL,4.2692350384658075,34430.0,34395.57,10.0
2025-09-19,1633.T,open,BUY,3.131664573670844,47850.0,47897.84999999999,10.0
2025-09-19,1633.T,close,SELL,3.131664573670844,47370.0,47322.63,10.0
