trade_date,result,status,packet_dir,shadow_net_return,paper_counterfactual_return
2025-08-27,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-08-27_20260420T123601Z,,
2025-08-28,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-08-28_20260420T123602Z,,
2025-08-29,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-08-29_20260420T123603Z,,
2025-09-02,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-09-02_20260420T123604Z,,
2025-09-03,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-09-03_20260420T123605Z,,
2025-09-04,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-09-04_20260420T123606Z,,
2025-09-05,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-09-05_20260420T123607Z,,
2025-09-08,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-09-08_20260420T123608Z,,
2025-09-09,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-09-09_20260420T123609Z,,
2025-09-10,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-09-10_20260420T123610Z,,
2025-09-11,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-09-11_20260420T123611Z,,
2025-09-12,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-09-12_20260420T123612Z,,
2025-09-16,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-09-16_20260420T123613Z,,
2025-09-17,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-09-17_20260420T123614Z,,
2025-09-18,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-09-18_20260420T123615Z,,
2025-09-19,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-09-19_20260420T123616Z,,
2025-09-22,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-09-22_20260420T123617Z,,
2025-09-24,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-09-24_20260420T123618Z,,
2025-09-25,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-09-25_20260420T123619Z,,
2025-09-26,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-09-26_20260420T123619Z,,
2025-09-29,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-09-29_20260420T123620Z,,
2025-09-30,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-09-30_20260420T123621Z,,
2025-10-01,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-10-01_20260420T123622Z,,
2025-10-02,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-10-02_20260420T123623Z,,
2025-10-03,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-10-03_20260420T123624Z,,
2025-10-06,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-10-06_20260420T123625Z,,
2025-10-07,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-10-07_20260420T123626Z,,
2025-10-08,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-10-08_20260420T123627Z,,
2025-10-09,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-10-09_20260420T123628Z,,
2025-10-10,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-10-10_20260420T123629Z,,
2025-10-14,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-10-14_20260420T123630Z,,
2025-10-15,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-10-15_20260420T123631Z,,
2025-10-16,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-10-16_20260420T123632Z,,
2025-10-17,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-10-17_20260420T123633Z,,
2025-10-20,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-10-20_20260420T123634Z,,
2025-10-21,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-10-21_20260420T123635Z,,
2025-10-22,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-10-22_20260420T123636Z,,
2025-10-23,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-10-23_20260420T123637Z,,
2025-10-27,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-10-27_20260420T123638Z,,
2025-10-28,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-10-28_20260420T123639Z,,
2025-10-29,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-10-29_20260420T123640Z,,
2025-10-30,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-10-30_20260420T123641Z,,
2025-10-31,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-10-31_20260420T123642Z,,
2025-11-04,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-11-04_20260420T123643Z,,
2025-11-05,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-11-05_20260420T123644Z,,
2025-11-06,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-11-06_20260420T123645Z,,
2025-11-07,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-11-07_20260420T123646Z,,
2025-11-10,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-11-10_20260420T123647Z,,
2025-11-11,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-11-11_20260420T123648Z,,
2025-11-12,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-11-12_20260420T123649Z,,
2025-11-13,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-11-13_20260420T123650Z,,
2025-11-14,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-11-14_20260420T123651Z,,
2025-11-17,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-11-17_20260420T123652Z,,
2025-11-18,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-11-18_20260420T123653Z,,
2025-11-19,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-11-19_20260420T123654Z,,
2025-11-20,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-11-20_20260420T123655Z,,
2025-11-21,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-11-21_20260420T123656Z,,
2025-11-25,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-11-25_20260420T123657Z,,
2025-11-26,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-11-26_20260420T123658Z,,
2025-11-28,skipped_existing,SKIPPED,runs\shadow_corrected_batch_60d_local_2025-11-28_20260420T123659Z,,
