date,ticker,fill_type,side,qty,mid_price,assumed_price,cost_bps
2025-11-28,1619.T,open,BUY,3.535035382169141,42390.0,42432.38999999999,10.0
2025-11-28,1619.T,close,SELL,3.535035382169141,42700.0,42657.3,10.0
2025-11-28,1620.T,open,BUY,4.881112372969051,30700.0,30730.699999999997,10.0
2025-11-28,1620.T,close,SELL,4.881112372969051,30950.0,30919.05,10.0
2025-11-28,1628.T,open,BUY,7.211268038987,20780.0,20800.78,10.0
2025-11-28,1628.T,close,SELL,7.211268038987,20770.0,20749.23,10.0
2025-11-28,1630.T,open,BUY,3.9559173666882224,37880.0,37917.88,10.0
2025-11-28,1630.T,close,SELL,3.9559173666882224,37960.0,37922.04,10.0
2025-11-28,1633.T,open,BUY,2.870142690100553,52210.0,52262.20999999999,10.0
2025-11-28,1633.T,close,SELL,2.870142690100553,52350.0,52297.65,10.0
